Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),Share Community Scheme,CHP Enabled,CfD Allocation Round,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission  Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,lat,long,status,mw
,6953,22/11/2022,Statera Energy / Melksham East Storage,Melksham Substation East Storage,Battery,Stand-alone Storage,,50,,,,,,,,,,,Operational,Operational,,,Land to the south of Melksham Substation Westlands Farm Westlands Lane Whitley Melksham,Wiltshire,South West,England,SN12 7QG,389389,166695,Wiltshire Council,17/04110/FUL,,,,,,10/05/2017,,,,,,,28/09/2017,,,,28/09/2020,01/01/2022,07/11/2022,,51.399186,-2.153916,operation,50
,6958,04/11/2022,RNA Energy,Norwich Road Industrial Estate,Battery,Stand-alone Storage,,40,,No,,,,,,,,,Revised,Revised,12529,,Land Within Norwich Road Industrial Estate West Of Sub Station And North Of Halesworth Business Park Norwich Road Halesworth ,Suffolk,Eastern,England,IP19 8QJ,639014,278928,Suffolk Coastal District Council,DC/17/0161/FUL,,,,,,16/01/2017,,,,,,,28/02/2017,,,,28/02/2020,,,,52.356262,1.508561,planning,40
,6961,31/01/2019,Aura Power,Lockleaze Energy Storage,Battery,Stand-alone Storage,,15,,,,,,,,,,,Operational,Operational,,,"Land at the SWEB Estate, Romney Avenue, Lockleaze, Bristol",Avon,South West,England,BS7 9ST,360403,176373,Bristol City Council,17/01147/F,,,,,,10/03/2017,,,,,,,05/05/2017,,,,,01/06/2017,01/12/2017,,51.484913,-2.571646,operation,15
,6962,27/05/2022,Green Hedge Energy Barn,Breach Farm,Battery,Stand-alone Storage,,40,,,,,,,,,,,Revised,Revised,6914,,"Breach Farm, Cadley Lane, Caldwell, Swadlincote,",Derbyshire,East Midlands,England,DE12 6RJ,426431,318856,South Derbyshire District Council,9/2017/0154,,,,,,16/02/2017,05/05/2017,,,,,,,,,,,,,,52.76666,-1.609715,planning,40
,6976,09/05/2019,Foresight,Port of Tyne,Battery,Stand-alone Storage,,35,,,,,,,,,,,Operational,Operational,,,"Port of Tyne, Tyne Dock, South Shields, Tyne & Wear",Tyne and Wear,North East,England,NE34 9PT,434923,564875,South Tyneside Metropolitan Borough Council,ST/0867/16/FUL�,,,,,,07/09/2016,,,,,,,21/10/2016,,,,,01/04/2018,01/07/2018,,54.977266,-1.455914,operation,35
,7000,20/01/2020,Gridserve Energy Storage,Slamseys Energy Storage,Battery,Stand-alone Storage,,10,,,,,,,,,,,Under Construction,Under Construction,,,"Land North Of Slamseys Farm, Blackley Lane, Great Notley, Essex",Essex,Eastern,England,CM77 7QW,573901,219919,Braintree District Council,17/01235/FUL,,,,,,06/07/2017,,,,,,,26/10/2017,,,,,13/01/2020,,,51.850774,0.523461,construction,10
,7001,30/11/2022,Gore Street Energy Storage Fund,Stony Energy Storage Facility,Battery,Stand-alone Storage,,79.9,,,,,,,,,,,Under Construction,Under Construction,,,"Land to the south west of Stony Stratford Substation, south of Stratford Road, Milton Keynes",Buckinghamshire,South East,England,MK19 6DZ,477740,236134,Aylesbury Vale District Council,17/02259/APP,,,,,,14/07/2017,,,,,,,12/10/2017,,,,12/10/2020,01/07/2022,,,52.018193,-0.868566,construction,79
,7003,12/01/2021,UK Power Reserve,Land off Queenborough Road,Battery,Stand-alone Storage,,40,,No,,,,,,,,,Under Construction,Under Construction,,,"Land Adjacent To 9 Neatscourt Cottages, Queenborough Road, Halfway, Kent",Kent,South East,England,ME12 3RJ,592600,171381,Swale Borough Council,17/503032/FULL,,,,,,08/06/2017,,,,,,,30/10/2018,,,,30/10/2021,01/12/2019,,,51.408738,0.767948,construction,40
,7005,09/11/2022,Harmony Energy Storage,Pillswood Phase 1 ,Battery,Stand-alone Storage,,49.5,,,,,,,,,,,Operational,Operational,,,"Land South East Of Lawns Farm, Park Lane, Cottingham, East Riding Of Yorkshire",Humberside,Yorkshire and Humber,England,HU16 5SB,504478,435057,East Riding of Yorkshire Council,17/01993/STPLF,,,,,,06/04/2017,,,,,,,17/11/2017,,,,17/11/2020,01/04/2022,01/11/2022,,53.801332,-0.415133,operation,49
,7014,29/06/2022,Conrad Energy Developments II Limited,"Ravensroost Farm, Minety - Battery Energy Storage",Battery,Stand-alone Storage,,49.9,,No,,,,,,,,,Planning Application Submitted,Application Submitted,,,"Ravensroost Farm, Minety, Malmesbury, ",Wiltshire,South West,England,SN16 9RJ,403012,188462,Wiltshire Council,PL/2022/04524,,,,,,13/06/2022,,,,,,,,,,,,,,,51.594997,-1.957914,planning,49
,7015,27/03/2023,Community Wind Power,Aikengall II Community Wind Farm Battery,Battery,Co-located with RE,4332,80,,,,,,,,,,,Operational,Operational,,,"Aikengall II Community Wind Fa, Innerwick, Dunbar, Lothian",East Lothian,Scotland,Scotland,EH42 1,367967,668389,East Lothian Council,18/00865/P,,,,,,10/01/2018,,,,,,,04/07/2019,,,,04/07/2022,01/12/2020,01/06/2021,,55.907534,-2.513953,operation,80
,7017,02/01/2020,Drax Group,Drax Re-Power,Battery,Co-located with fossil fuel plant,,200,,,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"New Road, Drax, Selby, North Yorkshire",North Yorkshire,Yorkshire and Humber,England,YO8 8PH,466381,426676,The Planning Inspectorate - National Infrastructure,,,,,,,27/06/2018,,,,,,,04/10/2019,,,,NA,,,,53.732262,-0.995254,planning,200
,7018,25/04/2023,Capbal,STOR Field 9,Battery,Stand-alone Storage,,37,,,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Land East of North Road, Inverkeithing, Dunfermline, Fife",Fife,Scotland,Scotland,KY11 1HT,313196,683767,Fife Council,18/01583/PPP,,,,,,09/06/2018,,,,,,,06/12/2018,,,,NA,,,,56.038888,-3.394798,planning,37
,7019,27/05/2020,Thurcroft Energy (Max Design Consultancy),Nether Moor Field,Battery,Stand-alone Storage,,49.9,,,,,,,,,,,Operational,Operational,,,"Nether Moor Field, Green Lane, Thurcroft, Rotherham, South Yorkshire",South Yorkshire,Yorkshire and Humber,England,S66,448748,389630,Rotherham Metropolitan Borough Council,RB2017/1426,,,,,,29/09/2017,,,,,,,22/11/2019,,,,22/11/2022,,01/09/2020,,53.401251,-1.26828,operation,49
,7020,30/07/2020,Green Energy International,Bilbo Solar Farm Energy Storage ,Battery,Co-located with RE,6736,40,,,,,,,,,,,Under Construction,Under Construction,,,"Land At Bilbo Solar Farm, Moss-side, Crimond, Fraserburgh, Grampian",Aberdeenshire,Scotland,Scotland,AB43 8QJ,405327,855492,Aberdeenshire Council,APP/2019/0296,,,,,,26/06/2019,,,,,,,20/09/2019,,,,,01/12/2020,,,57.589434,-1.912557,construction,40
,7021,17/09/2020,Pivot Power,Norwich Substation Storage Facility,Battery,Stand-alone Storage,,49.9,,,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Norwich Main Substation, Mangreen Hall Lane, Dunston, Norwich, Norfolk",Norfolk,Eastern,England,NR14 8PG,622065,302336,South Norfolk Council,2018/2017,,,,,,09/11/2018,,,,,,,15/11/2018,,,,15/11/2021,,,,52.57348,1.275689,planning,49
,7024,14/09/2022,Still Waters Green Technology,Mannington Battery Storage Plant,Battery,Stand-alone Storage,,49.9,,,,,,,,,,,Operational,Operational,,,"Mannington Depot Telford Way, Service Road, Mannington, Swindon, Wiltshire",Wiltshire,South West,England,SN5 8WA,412926,183867,Swindon Borough Council,S/17/1879,,,,,,21/11/2017,,,,,,,28/02/2018,,,,28/02/2021,01/11/2020,01/10/2021,,51.553544,-1.814961,operation,49
,7028,14/09/2023,Harmony Energy,Rye Common Lane,Battery,Stand-alone Storage,,49.5,,,,,,,,,,,Revised,Revised,7737,,"Blue Bell Lodge, Rye Common Lane, Crondall, Farnham, Surrey",Hampshire,South East,England,GU10 5DE,478578,150676,Hart District Council,18/01114/FUL,,,,,,23/05/2018,30/08/2018,,,,,,,,,,,,,,51.249851,-0.875513,planning,49
,7029,26/09/2022,Infra Balance New Energy,Middleton Clean Energy Plant,Battery,Stand-alone Storage,,49.9,,No,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Middleton Clean Energy Plant, Middleton Road, Heysham, Morecambe",Lancashire,North West,England,LA32,341454,460919,Lancaster City Council,18/01203/FUL,,,,,,01/10/2018,,,,,,,17/01/2020,,,,17/01/2023,Implemented,,,54.040905,-2.895509,planning,49
,7030,26/03/2020,Capbal,Hilfield Farm Tech,Battery,Stand-alone Storage,,49.9,,,,,,,,,,,Revised,Revised,8065,,Hilfield Farm Hilfield Lane Aldenham Watford ,Hertfordshire,Eastern,England,WD25 8DD,514901,196616,Hertsmere Borough Council,18/1587/OUT ,APP/N1920/W/19/3240825,,,,,08/08/2018,,28/05/2019,13/11/2019,,24/03/2020,,,,,,,,,,51.656597,-0.340365,planning,49
,7036,06/04/2022,Cory Riverside Energy,Riverside Energy Park,Battery,Co-located with RE,6535,20,,,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Norman Road, Bexley, London",London,London,England,DA17 6JY,549545,180595,The Planning Inspectorate - National Infrastructure,EN010093,,,,,,16/11/2018,,,,,,,09/04/2020,,,,09/04/2025,,,,51.504508,0.153302,planning,20
,7040,23/07/2019,EDF Energy Renewables,Lackenby,Battery,Stand-alone Storage,,49.9,,,,,,,,,,,Revised,Revised,7518,,"Land at, Crow Lane, Old Lackenby, Middlesbrough",Cleveland,North East,England,TS6 8DN,456654,519399,Redcar and Cleveland Borough Council,R/2017/0564/FF,,,,,,17/08/2017,,,,,,,10/11/2017,,,,,,,,54.566653,-1.125293,planning,49
,7044,01/04/2021,Statera Energy / Enderby Storage,"Enderby Storage, Redcomb Farm",Battery,Stand-alone Storage,,49.9,,,,,,,,,,,Under Construction,Under Construction,,,"Land Opposite Redcomb Farm, Desford Road, Lubbesthorpe, Leicester, Leicestershire",Leicestershire,East Midlands,England,LE19 4AD,452711,300246,Blaby District Council,17/1223/FUL,,,,,,13/10/2017,,,,,,,20/12/2017,,,,,01/04/2021,,,52.597459,-1.223231,construction,49
,7047,23/06/2020,Low Carbon Storage Ireland,Portadown Road,Battery,Stand-alone Storage,,50,,,,,,,,,,,Under Construction,Under Construction,,,"Land @ & 100m S/E of, 87 Portadown Road, Immediately adjacent to NIE, Craigavon, Co Armagh",Co. Armagh,Northern Ireland,Northern Ireland,BT62 2BB,112456,506231,Northern Ireland Planning Service,LA08/2018/0851/F,,,,,,18/06/2018,,,,,,,21/09/2018,,,,20/09/2023,15/01/2020,,,54.370189,-6.42882,construction,50
,7050,03/03/2020,Low Carbon Storage Ireland,Dungannon Energy Storage System,Battery,Stand-alone Storage,,50,,,,,,,,,,,Under Construction,Under Construction,,,"77a Ballynakilly Road, Dungannon, Co Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,BT71 6HG,97523,523089,Northern Ireland Planning Service,LA09/2018/0803/F,,,,,,05/06/2018,,,,,,,08/10/2018,,,,07/10/2023,01/12/2019,,,54.512548,-6.675125,construction,50
,7051,23/11/2022,Pivot Power,Ellbridge Lane,Battery,Stand-alone Storage,,49.9,,,,,,,,,,,Revised,Revised,12697,,"Sub Station, Ellbridge Lane, Hatt, Saltash, Cornwall",Cornwall,South West,England,PL12 6PU,240358,63237,Cornwall Council,PA19/03935,,,,,,03/06/2019,,,,,,,28/08/2019,,,,28/08/2022,,,,50.447201,-4.249874,planning,49
,7053,14/11/2019,UK Battery Storage,Elland Storage Project,Battery,Stand-alone Storage,,49.9,,,,,,,,,,,Revised,Revised,10236,,"Land To South Of, Lowfields Way, Lowfields Business Park, Elland",West Yorkshire,Yorkshire and Humber,England,HX5 9DA,411689,421815,Calderdale Metropolitan Borough Council,18/00478/192,,,,,,17/04/2018,,,,,,,01/06/2018,,,,PD,,,,53.692652,-1.82446,planning,49
,7058,13/06/2019,Harmony Energy,Chapel Farm,Battery,Stand-alone Storage,,49.5,,,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Chapel Farm, Luton Road, Chalton, Luton, Bedfordshire",Bedfordshire,Eastern,England,LU4 9UJ ,503243,226320,Central Bedfordshire Council,CB/18/01795/FULL,,,,,,08/05/2018,,,,,,,18/01/2019,,,,18/01/2022,,,,51.925834,-0.499999,planning,49
,7061,24/02/2022,Noriker Power,Perseverance Road,Battery,Stand-alone Storage,,20,,No,,,,,,,,,Revised,Revised,7966,,"Land At Perseverance Road, Perseverance Road, Hereford, ",Hereford and Worcester,West Midlands,England,HR4 9SN,350791,241336,Herefordshire Council,P181659/F,,,,,,04/05/2018,,,,,,,21/12/2018,,,,21/12/2021,,,,52.068196,-2.719292,planning,20
,7064,16/05/2019,Anesco,Lovedean Energy Storage System,Battery,Stand-alone Storage,,49.9,,,,,,,,,,,Revised,Revised,9257,,"Land S/O Lovedean Electricity, Broadway Lane, Lovedean, Land west of, Waterlooville, ",Hampshire,South East,England,PO8 0SG,467489,113279,East Hampshire District Council,57524/001,,,,43350,,29/09/2017,,02/10/2018,,,,,,,,,,,,,50.915038,-1.041344,planning,49
,7066,12/08/2020,EDF Energy,Cottam Power Station,Battery,Co-located with fossil fuel plant,,49,,,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Cottam Power Station, Cottam, Retford, Nottinghamshire",Nottinghamshire,East Midlands,England,DN22 0EU,481450,378800,Bassetlaw District Council,18/00249/FUL,,,,,,22/02/2018,,,,,,,17/04/2018,,,,PD,,,,53.299901,-0.779313,planning,49
,7067,14/03/2022,Ecotricity,Gloucestershire Science and Technology Park,Battery,Stand-alone Storage,,30,,,,,,,,,,,Revised,Revised,10796,,"Hamfield Lane, Berkeley, ",Gloucestershire,South West,England,GL13 9FB,365607,199140,Stroud District Council,S.18/0019/FUL,,,,,,03/01/2018,,,,,,,03/04/2018,,,,03/04/2021,,,,51.689953,-2.498942,planning,30
,7081,17/03/2022,RNA Energy,Sundridge Hill,Battery,Stand-alone Storage,,49.5,,,,,,,,,,,Under Construction,Under Construction,,,"Land To South Of A228, Sundridge Hill, Cuxton, Rochester,",Kent,South East,England,ME2 1LB,571652,167049,Medway Council,MC/17/3770,,,,,,14/11/2017,,,,,,,29/12/2017,,,,,01/02/2022,,,51.376545,0.464968,construction,49
,7085,13/10/2022,FPC Industry & Enterprise,Severn Road,Battery,Stand-alone Storage,,32,,No,,,,,,,,,Operational,Operational,,,"Land At, Severn Road, Hallen, Bristol",Gloucestershire,South West,England,BS10 7RZ,354274,180141,South Gloucestershire Council,PT17/4664/F,,,,,,05/10/2017,,,,,,,22/12/2017,,,,,01/08/2021,23/12/2021,,51.518327,-2.660396,operation,32
,7088,28/05/2021,Statera Energy / Dollymans Storage,Dollymans Storage,Battery,Stand-alone Storage,,99.98,,No,,,,,,,,,Operational,Operational,,,"Land North Of National Grid, Doublegate Lane, Rawreth, Wickford, ",Essex,Eastern,England,SS11 8UD,577686,191429,Rochford District Council,21/00522/FUL,,,,,,24/05/2021,,,,,,,05/11/2021,,,,05/11/2023,,01/07/2023,,51.593684,0.563833,operation,99
,7093,16/09/2019,Green Hedge Energy,Rusholme Grange,Battery,Stand-alone Storage,,35,,,,,,,,,,,Revised,Revised,9121,,"Rusholme Grange, Rusholme Lane, Drax, Selby, ",North Yorkshire,Yorkshire and Humber,England,YO8 8PW,470197,426610,Selby District Council,2017/1018/FULM,,,,,,15/09/2017,,,,,,,19/12/2017,,,,,,,,53.73117,-0.937436,planning,35
,7095,23/12/2021,Green Investment Group,Maldon Hall,Battery,Stand-alone Storage,,40,,No,,,,,,,,,Appeal Granted,Awaiting Construction,,,"Land North West Of Maldon Hall, Spital Road, Maldon",Essex,Eastern,England,CM9 6D,584569,206779,Maldon District Council,17/01106/FUL,APP/X1545/W/18/3204562,,,,,29/09/2017,,15/12/2017,14/01/2019,,,13/05/2019,13/05/2019,,,,13/05/2022,Implemented,,,51.729339,0.671188,planning,40
,7096,20/04/2020,Volta Energy Storage,Rubber and Allied Products,Battery,Stand-alone Storage,,40,,,,,,,,,,,Planning Permission Granted,Awaiting Construction,,,"Rubber & Allied Products Ltd, Turner Crescent, Newcastle-Under-Lyme, Staffordshire",Staffordshire,West Midlands,England,ST5 7LU,383353,348514,Newcastle Under Lyme Borough Council,17/00847/FUL,,,,,,20/10/2017,,,,,,,15/12/2017,,,,15/12/2020,,,,53.033644,-2.24969,planning,40
